,0
Griffin (Korean Team),1837.2072376070926
EDward Gaming,1794.4634148706314
Kingzone DragonX,1772.699285438175
Invictus Gaming,1771.3295396104177
eStar (Chinese Team),1736.9030307487858
DRX,1730.1272432586393
SANDBOX Gaming,1710.377763581975
DWG KIA,1697.5684178709466
DAMWON Gaming,1667.9342713985463
Snake Esports,1658.8127642568081
Gen.G,1654.1096796837478
Top Esports,1653.7551527331989
DragonX,1639.3558530723592
LNG Esports,1632.2379713721664
Rogue Warriors,1620.8535538710219
Flash Wolves,1609.8536098245827
JD Gaming,1604.452872679854
Royal Never Give Up,1600.0498189555776
Fnatic,1596.262570417772
Rare Atom,1586.364428945811
T1,1573.7896971306468
Afreeca Freecs,1567.1854234178224
Hanwha Life Esports,1562.359986788542
G2 Esports,1560.3613401411046
Team Dynamics,1556.6636930918985
Nongshim RedForce,1531.887235167622
Team WE,1529.6359457575518
MAD Lions,1524.461740524107
KT Rolster,1513.4748885225424
Beyond Gaming,1505.6605016681708
Misfits Gaming,1503.2779648089627
Origen,1486.9214222847886
Bilibili Gaming,1485.7289984782826
Team Vitality,1472.661174584341
Suning,1468.763976553363
Team BattleComics,1468.3200247405612
Rockhead,1468.1543988427838
GC Busan Ascension,1464.3417301031407
Victory Five,1459.611356361783
Chungnam,1457.1552272080057
FunPlus Phoenix,1454.4028806077897
Seorabeol Gaming,1451.1871304585306
Winners,1442.2116801654013
ESports Connected,1440.7864131273789
LGD Gaming,1435.7541243880978
Gambit Esports,1427.5323612341112
Ulsan,1424.7526192349133
Splyce,1417.9177008094407
Echo Fox,1411.8312918765753
SK Gaming,1410.6228113479328
PSG Talon,1406.3203739404094
G-Rex,1402.256541599064
Liiv SANDBOX,1399.684374182358
VSG (Korean Team),1395.426513206156
Phong Vũ Buffalo,1393.7402587220367
Luxury Esports,1384.6908361217183
EVOS Esports,1381.4635571061515
Legend Esport Gaming,1376.6858626917788
Fredit BRION,1375.7585778967914
Jin Air Green Wings,1370.6420866872531
Cloud9,1370.013849980068
bbq Olivers,1364.7907337482573
Oh My God,1364.5489569264212
ES Sharks,1361.7711516404834
Dominus Esports,1359.9330924956755
Brion Blade,1357.5372216215026
SuperMassive Esports,1357.2941471550782
Talon Esports,1355.6087594915352
Team Liquid,1350.4548876572155
DetonatioN FocusMe,1349.1042754119308
Ultra Prime,1348.7049064148193
Dashing Buffalo,1345.702126942908
Lowkey Esports.Vietnam,1345.2049722855504
Astralis,1344.1755091823281
Spear Gaming,1343.3893468838935
100 Thieves,1336.0523677709
FC Schalke 04 Esports,1331.4914043930212
RoX (2014 CIS Team),1315.7158991760057
Team Secret (Vietnamese Team),1310.8925985204567
Dire Wolves,1304.8769550632887
Element Mystic,1299.2289836688794
SK Telecom T1,1294.4811800553773
GAM Esports,1293.0477444166188
Team Flash.Vietnam,1292.2692881507087
Karmine Corp,1289.719472333325
Berlin International Gaming,1287.72054617402
SinoDragon Gaming,1281.9810516054715
Clutch Gaming,1272.1196173373125
J Team,1269.6965437038252
Sky Gaming,1267.5388849969984
MVP,1264.2696939470475
Movistar Riders,1256.2171982178727
Rogue Warriors Shark,1253.9076925779887
Royal Youth,1252.144352470974
SBTC Esports,1252.0278694410304
WIN Esports,1251.12387425223
Machi Esports,1246.743644890003
QTV Gaming,1244.7263369694838
Unicorns Of Love.CIS,1244.2835416030698
TSM,1243.6367237287125
ThunderTalk Gaming,1241.685231122133
OverPower Esports,1235.3287384299529
LDLC OL,1231.5747540412428
Invictus Gaming Young,1230.1587304234386
V Gaming,1227.8953730040123
Chiefs Esports Club,1225.055089457557
MAD Lions E.C.,1224.9574620864337
MAD Team,1221.760287536757
Evil Geniuses.NA,1216.854071585341
Topsports Gaming,1216.2942803712835
SeolHaeOne Prince,1213.7972143539232
AGO ROGUE,1210.0117920109124
Unlimited Potential,1209.919546506403
Team-LDLC,1208.5868955491583
Vici Gaming,1206.380284182479
Fnatic Rising,1205.553096723641
Percent Esports,1198.5638740740724
K1ck Neosurf,1197.1380107358505
ahq eSports Club,1196.9079426074054
MEGA,1194.853212381294
Awesome Spear,1192.1309045145254
PEACE (Oceanic Team),1184.352633212557
KaBuM! e-Sports,1182.967278109396
White Dragons,1181.0888947284845
FTV Esports,1177.5960452848867
Dragon Army,1176.9120602406786
Adonis Esports,1175.7299721160273
All Knights,1173.5014062788127
Rogue Esports Club,1173.2040305201945
M19,1172.0257566204623
Immortals,1171.072308506502
Rogue (European Team),1169.7876236742625
Team Just,1165.4653243356431
ORDER,1165.1475090084582
APK Prince,1164.6990707989676
BOOM Esports,1163.2879457044937
Ultra Prime Academy,1160.813307226141
Rainbow7,1158.040551975353
Berjaya Dragons,1157.7603996476353
Asura (Korean Team),1151.9164186980781
Dignitas,1150.591910872712
mousesports,1149.4554722631906
FlyQuest,1146.1083963539252
RED Canids,1146.0235391023014
Goskilla,1143.7353419350554
Snake WuDu,1142.6721034082188
Defusekids,1142.2617005734633
GamerLegion,1138.017482097713
OZ Gaming,1137.8467677697463
Bilibili Gaming Junior,1137.5837568231123
Riddle Esports,1137.495851967331
Counter Logic Gaming,1135.1274354010702
GamersOrigin,1134.641073015623
Excel Esports,1133.7585511446878
Shu Dai Xiong Gaming,1133.2477063701178
One Breath Gaming,1132.0221751611207
NASR eSports Turkey,1130.7411112109892
Cherry Esports,1127.8976162464503
BT Excel,1122.6137189439146
Excel UK,1122.3727476345057
ThunderTalk Gaming Young,1121.7611212382112
Misfits Premier,1117.658189097628
SAIM SE SuppUp,1115.334773360112
CERBERUS Esports (Vietnamese Team),1115.0308572450883
LGD Gaming Young Team,1114.6434668373265
Vodafone Giants.Spain,1112.5411534358825
MAD Lions Madrid,1110.0591574371356
Alpha Esports,1109.4536841127726
1907 Fenerbahçe Esports,1108.8879221546142
Vorax Liberty,1108.4614086411648
Genius Esports,1107.2512859060132
V Gaming Adonis,1106.714441808927
Joy Dream,1106.1273121521517
Vorax,1105.6152405275589
WanZhen Esports Club,1104.87861039688
Burst The Sky Esports,1096.688575951241
SK Gaming Prime,1093.0470936516417
FC Schalke 04 Evolution,1092.2901025289616
Triumphant Song Gaming,1092.037134275792
OpTic Gaming,1089.6241307469577
PDW,1088.9789317515074
Victorious Gaming,1086.4270370402237
Box Gaming,1086.3344829658936
ESC Shane,1086.1396694128573
Saigon Buffalo,1084.7463245639306
Scorpio Game,1083.098440629917
Kaos Latin Gamers,1082.5544008158884
Liyab Esports,1082.0792757257432
LOUD,1081.8396088084626
YDN Gamers,1081.6266878100275
Galatasaray Esports,1080.8095592618001
CR4ZY,1080.1943659318488
Chiefs Academy,1079.838968826975
Unsold Stuff Gaming,1079.297308044015
hyFresh Blade,1079.0152846261308
Friends Forever Gaming,1077.5193342734724
Vega Squadron,1077.3038762936922
Team BearMax,1076.6903051657878
ProGaming Esports,1075.5785836963314
LinGan e-Sports,1073.6505556370696
GMedia Luxury,1073.262062500786
Z10 ESHARK,1072.3323884634756
RunAway,1072.1866290154644
Flamengo Esports,1070.9859801084663
Burning Core,1069.2254433382639
Dragon Gate Team,1068.1744500555158
Vivo Keyd,1064.4071886564886
Team WE Academy,1063.8361873860138
Nova Esports (Thai Team),1059.7806579785263
Cream Real Betis.EU,1056.9090233433817
Vitality.Bee,1056.892128723266
Energypot Wizards,1055.2739445234063
Avant Gaming,1053.956302628269
Black Star Gaming,1052.920390009065
CrowCrowd,1051.7142361399588
aNc Outplayed,1051.5147580646137
Diabolus Esports,1045.9672288341371
Super Guy Destroys,1045.2282626505348
Uppercut esports,1044.6491618736554
SuperMassive Blaze,1044.3523174275433
Royal Club,1042.1222829268588
Panic Time,1042.0889903607633
Splyce Vipers,1042.0752882922286
Team Empire (Malaysian Team),1039.779692485919
INFINITY CHALLENGE,1034.3802431405077
FunPlus Phoenix Blaze,1033.054015452523
Golden Guardians,1031.1011479834378
SuppUp eSports,1029.674280230845
Mkers,1028.5363370612006
Impunity,1026.4025518698243
BowQen Blackbucks,1024.8834900904374
Hong Kong Attitude,1024.8511860402414
All Combo,1024.6589722510225
LP Gaming,1023.5306804281207
Macko Esports,1023.2540669324835
РофлоКекТурбоЛол,1020.1124128002497
UCAM Esports Club,1018.9187011025355
VP Game,1015.0149355854583
Dark Passage,1014.6217121321888
F-Soul Esports,1013.0341326980747
Ventus Esports,1010.2920967506772
SuperEsports,1008.4085368342044
Isurus,1005.9844851761653
Campus Party Sparks,1005.2103908455035
Infinity Esports (Latin American Team),1005.1828288348712
Resurgence,1003.0279327557016
PIGSPORTS,1002.7042483300211
Prodigy Esports,1000.8544173747814
PSV Esports,1000.2300359435633
POP Corn,999.810018186405
WLGaming Esports,998.3212006571212
Legacy Esports,998.2980681345132
Illuminar Gaming,997.3648765248887
Beşiktaş Esports,996.8732064213801
DeToNator (Southeast Asian Team),995.2798410834143
bilibili Team Model,995.274656804514
MAMMOTH,995.2315010412453
EDward Gaming Youth Team,992.0457386015115
Future Perfect Zaun,991.1113887566473
devils.one,987.1035994290237
Crest Gaming Act,984.2231664303433
Kowloon Esports,980.3566000682122
FURIA Uppercut,979.7079726068816
Douyu DYD,979.1723684548798
Future Perfect UA,977.2625548672047
Intrepid Fox Gaming,977.1427516115923
TWELVE,973.4998564724522
Samsung Morning Stars,972.9993356470645
King of Future,972.7769705435159
Top Esports Challenger,970.9455315469693
Origen BCN,970.7620142963938
FALKN,970.6961057225525
7more7 Pompa Team,970.5226958831122
Future Perfect Ionia,970.1561455577188
Capital Esports,968.473763083918
paiN Gaming,967.8666359443914
Suning-S,967.7694302086823
mCon LG UltraGear,966.9475743185618
Axis Empire,966.1907241296063
Future Perfect WLGaming,963.3242346083562
YouthCrew Esports,962.9617093196149
Young Miracles,962.4765485146761
Team AURORA,962.4679978478391
Team Singularity,956.7303574307653
ZZZ (CIS Team),955.1597645370483
G2 Arctic,954.6987148342273
Future Perfect Demacia,953.2998389267045
eSuba,951.5273825424748
Redemption eSports Porto Alegre,950.8304631834919
Istanbul Wildcats,949.2850517686538
CNB e-Sports Club,949.2257575423197
K1CK,947.6089871530194
Gravitas,945.6676524914982
Team Pinnacle,944.9297272149158
AS Trenčín esports,944.3223489962562
MachiX,941.7427387534516
eNsure,940.7514953711017
Rare Atom Period,940.3258841110637
Funny Yellow Dog,940.2294325386977
Sheng Jie Gaming,938.2875401670497
Estral Esports,938.1429503930185
ASUS ROG ELITE,937.9875884989672
Future Perfect Blue,937.7171133320536
Razer Pichau Gaming,936.5952022983878
For The Win Esports,936.4410454481389
V3 Esports,933.8793268851633
Pentanet.GG,933.4370270958397
Future Perfect Purple,933.1104028741548
Supra Esports,932.6473569379486
Fukuoka SoftBank HAWKS gaming,931.9962248125489
Muff1n,931.8394782176497
Grandma Lovers,931.5633134625913
eStar Young,928.7261977752268
Sunshine in L.A.,925.6237328401976
V5 87,925.0326542977846
Team Phantasma,924.8833534198263
Sengoku Gaming,924.5699867336184
Team Aze,922.9748618114423
Elements Pro Gaming,921.6968444323174
Pars eSports,921.0197996617586
Der Zentral Magier,919.2197430624487
Kenty,918.3089996097846
AKIHABARA ENCOUNT,915.4782354426027
Gama Dream,913.7214391187542
Zero Tenacity,901.1439100178175
MAD Lions E.C. Colombia,900.2261870906601
FURIA Esports,899.6857876234124
Oh My Dream,896.3593259513564
Cruzeiro eSports,895.9807755240433
Gamespace Mediterranean College Esports,895.9464425406093
SteelWolves Gaia,895.3226606773392
Bursaspor Esports,894.3610896358556
Future Perfect Orange,894.3365746928819
SinoDragon Prince,894.308770810916
EGN Esports,890.6193888697582
Tricked Esport,889.1527601777852
Natus Wincere,887.9644691137636
Method2Madness,885.5121390958836
RED Academy,885.2095428340381
Dominus Esports Young,879.0261279741959
Core Mind Games,878.4273628561858
Born Savage,877.9702873897887
Godsent,876.7471893271988
LNG Academy,875.9837135105228
INTZ,875.2272967115504
Vikings Gaming,874.4597334408278
Santos e-Sports,865.0729204540338
HWA Gaming,864.7150262013416
Moscow Five.CIS,864.6535519372007
Five Kings,862.0041232433657
KV Mechelen Esports,860.4422522955385
Crvena zvezda Esports,857.7128990303597
Sector One,856.1146441471071
9z Team,853.5348620763589
D7G Esports Club,850.3162974600396
Flash Husky,849.8292465232258
Team oNe eSports,848.2291160473715
J Team 2,843.3168408708951
Kaisa Gaming,840.461412070868
Random 5,838.2365375307861
optical spectrum E-sport,835.4457577599353
SINNERS Esports,834.4720208409459
Rascal Jester,831.8471293273791
Falkol,831.3251263444877
5 Ronin,830.0225324075536
Armored Project,828.5349766625444
Havan Liberty Gaming,826.0302688837276
Pixel Esports Club,820.0835525653898
NYYRIKKI White,819.4660260342998
G-Rex Infinite,818.0686321518657
Operation Kino e-Sports,816.4230878963518
Deep Dark Fantasies,816.3406979060854
LowLandLions,816.2602013811523
Furious Gaming,814.0051817562583
Bombers,812.52455519213
GOEXANIMO,811.4608436276372
Netshoes Miners,811.1541127423171
JingNetGame,810.6034146788201
Iron Wolves,808.7346451911089
Vipers Inc,804.9784095138888
Racoon (Italian Team),800.6187063801515
Azules Esports,799.583590485643
Vaevictis eSports,798.4863766464814
PENTA 1860,793.2030112685487
Anorthosis Famagusta Esports,788.4445555005963
Cream Esports Mexico,777.0089145541618
XTEN Esports,774.5116915494311
Galakticos,764.9354080451411
Vici Gaming Potential,747.9952254345186
Undead Gaming,746.4954640293147
ahq Fighter,737.7047941721356
Tectonic,734.7268787312627
Karma Clan Esports,732.08450683355
Insurgent,730.3553549203318
AXIZ,721.4248204448966
OG Esports,715.9320811045936
Globant Emerald,711.1973534986386
Cyber Gaming,702.9993449734123
Cruzados Esports,697.0428311852189
MAX (Chinese Team),680.7952559548644
CTRL PLAY,680.4279923109132
Janus Vipers,679.6544368624197
Skull Cracker,671.1609424964977
Zeu5 Bogota,668.6839024079528
G-Pride,659.4112032440006
Rensga Esports,657.1592150071201
S2N Esports Club,656.5679857451474
Underrated,653.2190945552157
SAMCLAN Esports Club,649.1569619213366
paiN Gaming Academy,643.0921071418384
Fish Dive Team,641.736298374135
Suns Gos Hawk,599.9742152248542
Instinct Gaming,599.379103300762
Universidad Católica Esports,588.9777181933923
INTZ Academy,578.4191922372262
Intergalaxy Tigers Gaming,551.8942944483716
GeekSide Esports,535.9435666992865
Incubus,467.2224771684261
